attribute_name,attribute_type
pointelle,2
polka dot,1
polo,3
pom-pom,1
ponte,2
popcorn,5
popover,3
posh,5
power,5
print,1
puffer,3
pullover,3
purl,2
quilted,2
quirky,5
racerback,4
rad,5
raga,5
raglan,4
rainbow,5
rebel,5
red,5
refined,5
regime,5
relaxed,5
retro,5
reverse,5
rhinestone,2
rib,2
ringer,1
ripped,2
rise,3
roll,5
roman,5
rose,5
round,3
ruched,2
ruffle,2
rugby,5
run,5
rustic,5
safari,5
sateen,2
satin,2
scallop,4
scoop,4
scuba,2
sea,5
seam,2
seamless,2
seersucker,2
self-tie,4
semi-sheer,2
sequin,2
shaggy,2
shark,5
shawl,4
shearling,2
sheath,3
sheer,2
shift,3
shirred,2
shirt,3
shopping,5
shore,5
shoulder,4
shredded,2
skater,3
skinny,3
skort,3
sky,5
sleek,2
sleeve,4
sleeveless,4
slick,2
slim,3
slip,3
slit,4
slouchy,3
slub,2
smart,5
smile,5
smock,3
snap,5
snoopy,5
soft,5
solid,5
sophisticated,1
southwestern,1
sparkling,2
speckled,1
spirit,5
splatter,1
split,4
spongebob,5
sporty,5
spotted,1
springs,5
square,3
standout,5
star,5
stone,2
straight-leg,3
strap,4
strapless,4
stretch,2
stripe,1
structured,1
studded,2
studio,5
suede,2
summer,5
sun,5
sunflower,5
surfer,5
surplice,4
suspender,4
sweet,5
swing,3
swiss,5
t-back,4
taco,5
tapestry,2
tartan,2
tasmanian,5
tassel,4
texas,5
textured,2
thermal,5
tiered,2
tile,2
toggle,4
tokyo,5
tonal,1
topstitched,4
tower,5
track,5
training,5
trapeze,3
tree,5
trench,5
triangle,5
tribal,1
trim,4
tropical,5
trouble,5
trouser,3
tube,3
tulip,3
tulle,2
tunic,3
tupac,5
turtle-neck,4
tweed,2
twill,2
twisted,4
utility,5
v-neck,4
van,5
varsity,5
velvet,2
venice,5
vent,4
vertical,3
voyager,5
waffle,2
wake,5
wash,2
watercolor,1
wave,5
weekend,5
west,5
wide-leg,3
wifey,5
wild,5
windbreaker,3
windowpane,3
woke,5
workout,5
woven,2
wrap,3
y-back,4
yoga,5
yoke,5
york,5
youth,5
zeppelin,5
zig,1
zip,4
